"id","street_name","zip","value"
20171162037,"E ST JOHNS AVE",78752,0.5
20172671718,"OHLEN RD",78758,0.5
20171331095,"WEBBERVILLE RD",78702,0.5
20172050904,"RED RIVER ST",78701,0.5
2017921358,"RED RIVER ST",78701,0.5
20173210263,"ROSEWOOD AVE",78702,0.5
20173250073,"BARTON SPRINGS RD",78704,0.5
20171671060,"W WILLIAM CANNON DR",78735,0.5
20171660166,"W 2ND ST",78701,0.5
20172571807,"RED RIVER ST",78701,0.5
20172911788,"CAMERON RD",78753,0.5
20171491642,"W WILLIAM CANNON DR",78749,0.5
20173140551,"S CONGRESS AVE",78745,0.5
20172640965,"N FM 620 RD NB",78717,0.5
20173001938,"PAYTON GIN RD",78758,0.5
20173450093,"NORTH BLUFF DR",78745,0.5
20171431808,"E 2ND ST",78702,0.5
20175018557,"MONTOPOLIS DR",78741,0.5
20171470703,"SPRINGDALE RD",78721,0.5
20173491849,"HARRIS RIDGE BLVD",78753,0.5
20171300070,"PARLIAMENT CV",78724,0.5
20173441005,"E CESAR CHAVEZ ST",78701,0.5
20172311118,"MANOR RD",78723,0.5
20173630048,"N IH 35 SVRD NB",78702,0.5
20173390144,"S LAMAR BLVD",78704,0.5
20172720188,"LEONA ST",78702,0.5
20172421093,"NECHES ST",78701,0.5
20172670825,"BRIXEY LN",78754,0.5
20171301844,"BENNETT AVE",78752,0.5
20173370007,"TRINITY ST",78701,0.5
20172930084,"NECHES ST",78701,0.5
20172840002,"TRINITY ST",78701,0.5
2017851126,"RESEARCH BLVD SVRD SB",78759,0.5
20171830464,"E BEN WHITE BLVD SVRD WB",78704,0.5
20173261519,"PAYTON GIN RD",78753,0.5
201790169,"FLORES ST",78702,0.5
20175002944,"LONGVIEW ST",78705,0.5
20173120524,"S IH 35 SVRD SB",78704,0.5
20172930711,"TRINITY ST",78701,0.5
20172190015,"CAMERON RD",78752,0.5
20173330446,"REDD ST",78745,0.5
20172781641,"MELLOW MEADOW DR",78750,0.5
20171291359,"JOHNNY MORRIS RD",78724,0.5
20178002709,"S CONGRESS AVE",78704,0.5
20172390683,"MANASSAS DR",78745,0.5
20171830077,"SANTA RITA ST",78702,0.5
2017762072,"RIO GRANDE ST",78701,0.5
20172431917,"CHALMERS AVE",78702,0.5
