"X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
711,"12/19/2008","Seven Pounds",54000000,69951824,166617328,"Sony Pictures","PG-13","Drama"
712,"12/25/1990","The Godfather: Part III",54000000,66520529,66520529,"Paramount Pictures","R","Drama"
713,"10/14/2005","Elizabethtown",54000000,26850426,50719373,"Paramount Pictures","PG-13","Drama"
714,"8/5/2005","The Dukes of Hazzard",53000000,80270227,109848461,"Warner Bros.","PG-13","Comedy"
715,"9/18/2015","Black Mass",53000000,62575678,98837872,"Warner Bros.","R","Drama"
716,"10/20/2006","Flags of Our Fathers",53000000,33602376,63657941,"Paramount Pictures","R","Drama"
717,"4/6/2007","Grindhouse",53000000,25031037,50187789,"Weinstein/Dimension","R","Horror"
718,"10/16/1998","Beloved",53000000,22852487,22852487,"Walt Disney","R","Drama"
719,"12/19/2012","Zero Dark Thirty",52500000,95720716,134612435,"Sony Pictures","R","Drama"
720,"12/25/2002","Catch Me if You Can",52000000,164606800,355612291,"Dreamworks SKG","PG-13","Drama"
721,"11/22/1995","Casino",52000000,42438300,110400000,"Universal","R","Drama"
722,"8/5/2011","The Change-Up",52000000,37243418,75997067,"Universal","R","Comedy"
723,"12/23/1998","The Thin Red Line",52000000,36400491,97709034,"20th Century Fox","R","Drama"
724,"12/22/1999","Man on the Moon",52000000,34580635,47407635,"Universal","R","Drama"
725,"4/16/2003","Bulletproof Monk",52000000,23010607,23010607,"MGM","PG-13","Action"
726,"11/22/2006","Deck the Halls",51000000,35093569,46815807,"20th Century Fox","PG","Comedy"
727,"11/20/2009","The Twilight Saga: New Moon",50000000,296623634,687557727,"Summit Entertainment","PG-13","Drama"
728,"5/18/2001","Shrek",50000000,267655011,491812794,"Dreamworks SKG","PG","Adventure"
729,"6/29/2012","Ted",50000000,218665740,556016627,"Universal","R","Adventure"
730,"6/13/2014","22 Jump Street",50000000,191719337,331333876,"Sony Pictures","R","Comedy"
731,"6/14/1991","Robin Hood: Prince of Thieves",50000000,165493908,390500000,"Warner Bros.","PG-13","Adventure"
732,"12/25/2015","Daddy’s Home",50000000,150357137,242757137,"Paramount Pictures","PG-13","Comedy"
733,"12/25/1998","Patch Adams",50000000,135014968,202173000,"Universal","PG-13","Comedy"
734,"6/17/2016","Central Intelligence",50000000,127440871,217196811,"Warner Bros.","PG-13","Comedy"
735,"12/18/2013","Anchorman 2: The Legend Continues",50000000,127352707,172185754,"Paramount Pictures","PG-13","Comedy"
736,"6/28/2002","Mr. Deeds",50000000,126293452,171269535,"Sony Pictures","PG-13","Comedy"
737,"3/17/2000","Erin Brockovich",50000000,125548685,257805243,"Universal","R","Drama"
738,"2/9/2018","Peter Rabbit",50000000,115234093,347134901,"Sony Pictures","PG","Adventure"
739,"12/19/2008","Yes Man",50000000,97690976,225990976,"Warner Bros.","PG-13","Comedy"
740,"2/28/2014","Non-Stop",50000000,91742160,222383055,"Universal","PG-13","Action"
741,"12/25/1998","Stepmom",50000000,91137662,159745279,"Sony/TriStar","PG-13","Drama"
742,"8/9/2013","Disney Planes",50000000,90282580,238059569,"Walt Disney","PG","Adventure"
743,"7/28/2017","The Emoji Movie",50000000,86089513,216508301,"Sony Pictures","PG","Adventure"
744,"7/29/2011","Crazy, Stupid, Love",50000000,84351197,147142328,"Warner Bros.","PG-13","Comedy"
745,"12/22/2017","The Post",50000000,81903458,179769457,"20th Century Fox","PG-13","Drama"
746,"2/5/1999","Payback",50000000,81526121,161626121,"Paramount Pictures","R","Action"
747,"6/9/1995","Congo",50000000,81022333,152022333,"Paramount Pictures","PG-13","Adventure"
748,"3/18/2005","The Ring Two",50000000,75941727,161941727,"Dreamworks SKG","PG-13","Horror"
749,"12/23/2011","We Bought a Zoo",50000000,75624550,118729073,"20th Century Fox","PG","Drama"
750,"9/23/2011","Moneyball",50000000,75605492,111300835,"Sony Pictures","PG-13","Drama"
751,"6/11/2004","Garfield: The Movie",50000000,75367693,208094550,"20th Century Fox","PG","Adventure"
752,"11/24/2004","Christmas with the Kranks",50000000,73701902,96469187,"Sony Pictures","PG","Comedy"
753,"3/17/2006","V for Vendetta",50000000,70511035,130214162,"Warner Bros.","R","Action"
754,"3/13/2009","Race to Witch Mountain",50000000,67172595,105103784,"Walt Disney","PG","Adventure"
755,"6/22/2005","Herbie: Fully Loaded",50000000,66010682,144110682,"Walt Disney","G","Adventure"
756,"2/7/2003","Shanghai Knights",50000000,60470220,88316835,"Walt Disney","PG-13","Adventure"
757,"7/18/2014","Planes: Fire and Rescue",50000000,59157732,156399644,"Walt Disney","PG","Adventure"
758,"2/10/2006","Curious George",50000000,58640119,71052604,"Universal","G","Adventure"
759,"4/6/2012","American Reunion",50000000,56758835,236799211,"Universal","R","Comedy"
760,"1/25/2013","Hansel & Gretel: Witch Hunters",50000000,55703475,214949716,"Paramount Pictures","R","Action"
761,"2/18/2011","I am Number Four",50000000,55100437,146195159,"Walt Disney","PG-13","Adventure"
762,"5/8/2002","Unfaithful",50000000,52752475,119114494,"20th Century Fox","R","Drama"
763,"9/10/2004","Resident Evil: Apocalypse",50000000,50740078,125168734,"Sony Pictures","R","Horror"
764,"10/17/2014","The Book of Life",50000000,50151543,97651543,"20th Century Fox","PG","Adventure"
765,"8/22/1997","G.I. Jane",50000000,48169156,48169156,"Walt Disney","R","Drama"
766,"10/10/2014","The Judge",50000000,47119388,76119388,"Warner Bros.","R","Drama"
767,"4/21/2006","Silent Hill",50000000,46982632,94704227,"Sony Pictures","R","Horror"
768,"8/11/2000","The Replacements",50000000,44737059,50054511,"Warner Bros.","PG-13","Comedy"
769,"7/29/1998","The Negotiator",50000000,44705766,49105766,"Warner Bros.","R","Action"
770,"8/19/2016","War Dogs",50000000,43034523,86234523,"Warner Bros.","R","Comedy"
771,"5/25/1994","Beverly Hills Cop III",50000000,42586861,119180938,"Paramount Pictures","R","Action"
772,"6/15/1990","Gremlins 2: The New Batch",50000000,41476097,41476097,"Warner Bros.","PG-13","Comedy"
773,"9/26/1997","The Peacemaker",50000000,41263140,62967368,"Dreamworks SKG","R","Action"
774,"2/11/2000","The Beach",50000000,39778599,39778599,"20th Century Fox","R","Drama"
775,"2/18/1994","On Deadly Ground",50000000,38590458,38590458,"Warner Bros.","R","Action"
776,"11/25/2009","Ninja Assassin",50000000,38122883,62209892,"Warner Bros.","R","Action"
777,"5/28/2004","Raising Helen",50000000,37485528,49928680,"Walt Disney","PG-13","Comedy"
778,"9/17/1999","For Love of the Game",50000000,35188640,46112640,"Universal","PG-13","Drama"
779,"12/11/1998","Jack Frost",50000000,34645374,34645374,"Warner Bros.","PG","Comedy"
780,"6/4/2010","Marmaduke",50000000,33644788,89895930,"20th Century Fox","PG","Adventure"
781,"6/28/1996","Striptease",50000000,33109743,113309743,"Sony Pictures","R","Comedy"
782,"10/6/1995","Assassins",50000000,30306268,83306268,"Warner Bros.","R","Action"
783,"2/12/2016","Zoolander 2",50000000,28848693,55348693,"Paramount Pictures","PG-13","Comedy"
784,"1/16/2009","Defiance",50000000,28644813,52987754,"Paramount Vantage","R","Drama"
785,"3/13/2015","Run All Night",50000000,26461644,66961644,"Warner Bros.","R","Action"
786,"8/9/1996","Escape from L.A.",50000000,25426861,25426861,"Paramount Pictures","R","Action"
787,"12/10/2004","The Life Aquatic with Steve Zissou",50000000,24006726,34806726,"Walt Disney","R","Comedy"
788,"8/4/1999","The Iron Giant",50000000,23159305,31333917,"Warner Bros.","PG","Adventure"
789,"4/8/2011","Your Highness",50000000,21596445,26121638,"Universal","R","Comedy"
790,"9/16/2016","Snowden",50000000,21587519,34841016,"Open Road","R","Drama"
791,"9/30/2011","Dream House",50000000,21302340,41642166,"Universal","PG-13","Horror"
792,"6/24/2016","Free State of Jones",50000000,20810036,23237175,"STX Entertainment","R","Drama"
793,"9/4/2009","Gamer",50000000,20534907,42002029,"Lionsgate","R","Action"
794,"9/30/2005","Into the Blue",50000000,18782227,41982227,"Sony Pictures","PG-13","Adventure"
795,"7/1/1994","Baby's Day Out",50000000,16581575,16581575,"20th Century Fox","PG","Adventure"
796,"11/3/1995","Fair Game",50000000,11497497,26097497,"Warner Bros.","R","Action"
797,"2/25/2011","Drive Angry",50000000,10721033,41042583,"Summit Entertainment","R","Action"
798,"11/7/1997","Mad City",50000000,10561038,10561038,"Warner Bros.","PG-13","Drama"
799,"10/13/1995","The Scarlet Letter",50000000,10359006,10359006,"Walt Disney","R","Drama"
800,"10/14/2005","Domino",50000000,10169202,22969202,"New Line","R","Action"
801,"2/16/2018","Early Man",50000000,8267544,44773318,"Lionsgate","PG","Adventure"
802,"11/13/2009","The Boat That Rocked",50000000,8017467,37472651,"Focus Features","R","Comedy"
803,"1/30/2004","The Big Bounce",50000000,6471394,6626115,"Warner Bros.","PG-13","Comedy"
804,"3/3/2000","What Planet Are You From?",50000000,6291602,6291602,"Sony Pictures","R","Comedy"
805,"1/23/2009","Outlander",50000000,166003,1250617,"Third Rail","R","Adventure"
806,"10/2/2015","Shanghai",50000000,46425,15505922,"Weinstein Co.","R","Drama"
807,"11/2/2001","The One",49000000,43905746,72689126,"Sony Pictures","PG-13","Action"
808,"3/6/2015","Chappie",49000000,31569268,105002056,"Sony Pictures","R","Action"
809,"7/11/1990","The Adventures of Ford Fairlane",49000000,20423389,20423389,"20th Century Fox","R","Comedy"
810,"5/24/1989","Indiana Jones and the Last Crusade",48000000,197171806,474171806,"Paramount Pictures","PG-13","Adventure"
811,"10/18/2002","The Ring",48000000,129094024,248218486,"Dreamworks SKG","PG-13","Horror"
